first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Chickie,Brister,M,86,1957-07-12,General Manager,Manufacturing,Mass Customer,False,True,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875
Morly,Genery,M,69,1970-03-22,Structural Engineer,Property,Mass Customer,False,False,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875
Ardelis,Forrester,F,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,False,False,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875
Lucine,Stutt,F,64,1979-01-28,Account Representative III,Manufacturing,Affluent Customer,False,True,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125
Melinda,Hadlee,F,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,False,False,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125
Druci,Brandli,F,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,False,True,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875
Rutledge,Hallt,M,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,False,False,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875
Nancie,Vian,F,74,1972-12-27,Human Resources Assistant II,Retail,Mass Customer,False,True,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625
Duff,Karlowicz,M,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,False,True,5,717 West Drive,2200,NSW,Australia,10,8,1.65625
Barthel,Docket,M,72,1985-08-02,Accounting Assistant IV,IT,Mass Customer,False,True,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625
Rockwell,Matson,M,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,False,False,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625
Wheeler,Winward,M,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,False,False,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625
Olag,,M,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,False,False,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375
Melba,Spellacy,F,38,1976-12-09,VP Marketing,Health,Mass Customer,False,False,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375
Mandie,Feares,F,32,1964-04-19,Clinical Specialist,Health,Mass Customer,False,False,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375
Dukie,Swire,M,88,1954-03-31,,Manufacturing,Affluent Customer,False,True,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625
Marcelia,Monkleigh,F,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,False,True,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875
Winnifred,Beswetherick,F,83,1976-06-08,Actuary,Financial Services,Mass Customer,False,False,14,61 4th Street,3040,VIC,Australia,10,17,1.546875
Odilia,Quick,F,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,False,True,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125
Karly,Willavize,F,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,False,False,12,193 North Point,2190,NSW,Australia,10,19,1.53125
Teddie,Burchill,M,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,False,True,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625
Gaston,Dallaghan,M,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,False,True,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625
Otis,Ottey,M,26,1998-02-05,Quality Engineer,,Mass Customer,False,False,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5
Tabbatha,Averill,F,5,1977-12-17,Quality Control Specialist,,Affluent Customer,False,True,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5
Brena,Schnitter,F,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,False,False,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375
Rourke,Gillbard,M,11,1945-08-03,,Property,Mass Customer,False,False,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875
Dyane,Burwell,F,19,1952-06-27,Engineer II,Retail,Mass Customer,False,True,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875
Claudine,Barstowk,F,71,1966-07-20,Nurse,Property,High Net Worth,False,True,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875
Blinnie,Roze,F,84,1960-12-10,Librarian,Entertainment,High Net Worth,False,False,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875
Rhona,De Freyne,F,45,1960-11-22,,Health,High Net Worth,False,False,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375
Sharron,Claibourn,F,62,1980-01-26,,Financial Services,High Net Worth,False,True,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375
Brien,Heaton,M,70,1951-11-28,Clinical Specialist,Health,Mass Customer,False,True,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125
Sybilla,MacCart,F,88,1987-01-15,Paralegal,Financial Services,Mass Customer,False,True,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125
Mikel,McNess,M,71,1981-09-22,Nurse,,Mass Customer,False,False,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125
Maisie,Maddox,F,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,False,False,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125
Arleen,Casbolt,F,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,False,True,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625
Farlie,Petford,M,76,1968-03-25,Recruiting Manager,,High Net Worth,False,False,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625
Mitchell,MacCague,M,58,1979-04-11,,Manufacturing,Mass Customer,False,False,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375
Garik,Whitwell,M,44,1955-06-13,,Property,Mass Customer,False,True,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375
Antonin,Britt,M,64,1993-08-28,,Manufacturing,Affluent Customer,False,True,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375
Vinny,Incogna,F,73,1953-02-13,,Health,High Net Worth,False,False,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375
Colene,Fishleigh,F,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,False,False,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875
Neile,Argent,F,79,1946-10-25,,Retail,Mass Customer,False,False,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875
Corinna,Suggey,F,52,1966-09-18,Design Engineer,,Affluent Customer,False,False,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375
Brooke,Arling,M,76,1961-12-05,,,High Net Worth,False,False,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375
Gipsy,Ewestace,F,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,False,True,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125
Sheena,Kybbye,F,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,False,True,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125
Jobina,Gobourn,F,85,1994-12-04,VP Quality Control,,High Net Worth,False,True,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125
Gale,Disbrow,F,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,False,True,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125
Thaxter,Kingsbury,M,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,False,False,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625
Heinrick,Shilstone,M,60,1978-02-11,,Manufacturing,Affluent Customer,False,False,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625
Taylor,Steuhlmeyer,M,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,False,True,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125
Griswold,Kelsall,M,55,1993-12-19,Social Worker,Health,High Net Worth,False,True,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125
Odessa,Mc Andrew,F,97,1981-12-01,,Property,Mass Customer,False,False,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125
